Run,Event,type1,Q1,pt1,eta1,phi1,E1,px1,py1,pz1,type2,Q2,pt2,eta2,phi2,E2,px2,py2,pz2,M
166462,538788205,G,1,4.7866,-1.4006,0.3528,10.3019,4.4918,1.6537,-9.1218,G,-1,18.7140,0.4570,2.4164,20.7030,-14.0045,12.4132,8.8537,25.9386
166462,538843765,G,-1,5.0346,1.0949,-2.4777,8.3666,-3.9654,-3.1021,6.6814,T,1,4.4333,-2.3113,1.0125,22.5807,2.3486,3.7601,-22.1410,26.7514
166462,538964813,G,-1,31.0405,0.4033,1.8914,33.5990,-9.7820,29.4588,12.8596,T,1,1.4015,1.6368,-1.0891,3.7388,0.6493,-1.2421,3.4646,15.7453
166462,539239941,G,-1,49.5645,-0.5624,3.1167,57.6112,-49.5492,1.2347,-29.3665,G,1,46.5848,-0.6138,0.0019,55.6384,46.5847,0.0877,-30.4216,96.1263
166462,539291149,G,1,16.7842,-1.9108,-1.6459,57.9596,-1.2585,-16.7370,-55.4761,G,-1,5.1828,-1.6914,-1.7525,14.5417,-0.9367,-5.0975,-13.5864,2.2788
166462,539534133,G,-1,44.1189,-1.1461,-1.7278,76.4102,-6.8966,-43.5765,-62.3862,G,1,46.2938,-0.8316,1.4329,63.2449,6.3654,45.8541,-43.0905,91.5025
166462,538741098,G,1,14.8844,-1.6060,-0.1498,38.5784,14.7178,-2.2207,-35.5913,G,-1,4.6163,-1.5986,-1.6131,11.8835,-0.1951,-4.6121,-10.9497,11.0762
166462,538850330,G,-1,10.6792,-0.2246,-1.6665,10.9408,-1.0196,-10.6208,-2.4182,T,1,6.1230,0.3832,1.3509,6.5789,1.3354,5.9756,2.4041,16.8956
166462,539603698,G,-1,4.4860,1.1348,2.2620,7.6991,-2.8597,3.4564,6.2562,G,1,8.3416,0.7887,2.5457,11.0737,-6.9040,4.6815,7.2824,2.7424
166462,539068889,G,-1,2.7027,1.4309,1.0156,5.9759,1.4246,2.2967,5.3287,T,1,1.2010,1.7656,2.4969,3.6143,-0.9600,0.7217,3.4073,2.5058
166462,539311219,G,-1,3.5582,-2.3662,0.4848,19.1267,3.1482,1.6582,-18.7925,T,1,2.0819,-2.2157,0.9876,9.6568,1.1465,1.7377,-9.4291,1.4148
166462,539396139,G,1,28.5311,1.8156,2.3779,89.9835,-20.6080,19.7315,85.3405,G,-1,25.0542,0.8069,-0.5749,33.6625,21.0269,-13.6230,22.4819,60.2089
166462,539558819,G,1,3.5045,-1.2281,0.5807,6.4974,2.9299,1.9227,-5.4702,T,-1,1.2483,1.8993,1.8696,4.2650,-0.3675,1.1930,4.0769,9.8776
166462,539265239,G,-1,17.7938,1.9020,-3.0956,60.9322,-17.7749,-0.8187,58.2761,T,1,2.4792,1.6144,-2.6016,6.4765,-2.1264,-1.2746,5.9823,3.7710
166462,539501999,G,-1,38.0907,1.5443,1.5465,93.2908,0.9266,38.0795,85.1602,G,1,47.4869,0.8975,-1.6907,67.9335,-5.6807,-47.1459,48.5792,89.4550
166462,539028220,G,-1,36.4782,1.5503,0.4194,89.8295,33.3172,14.8534,82.0894,G,1,37.4432,0.2466,-2.9499,38.5876,-36.7577,-7.1322,9.3272,89.7912
166462,539081404,G,-1,2.9733,-2.0368,0.7588,11.5904,2.1575,2.0459,-11.2021,T,1,1.1238,-1.8005,2.1207,3.4954,-0.5873,0.9581,-3.3082,2.3418
166462,539128260,G,-1,9.5792,-0.6020,0.7723,11.3683,6.8617,6.6841,-6.1210,T,1,1.7023,-1.8529,0.2939,5.5633,1.6293,0.4932,-5.2954,5.7170
